  At 30ns:  a=    0  b=    0 ci=0 : sum=    0 (0000000000000000), co=0 (0) - OK
  At 40ns:  a=11730  b=61557 ci=1 : sum= 7752 (0001111001001000), co=1 (1) - OK
  At 50ns:  a=22065  b=20934 ci=0 : sum=42999 (1010011111110111), co=0 (0) - OK
  At 60ns:  a=23512  b=34053 ci=1 : sum=57566 (1110000011011110), co=0 (0) - OK
  At 70ns:  a=25883  b=17672 ci=0 : sum=43555 (1010101000100011), co=0 (0) - OK
  At 80ns:  a=64983  b= 7301 ci=1 : sum= 6749 (0001101001011101), co=1 (1) - OK
  At 90ns:  a= 8377  b=62600 ci=0 : sum= 5441 (0001010101000001), co=1 (1) - OK
  At 100ns:  a=43577  b=18485 ci=1 : sum=62063 (1111001001101111), co=0 (0) - OK
  At 110ns:  a=19405  b=58918 ci=0 : sum=12787 (0011000111110011), co=1 (1) - OK
  At 120ns:  a=  704  b=26834 ci=0 : sum=27538 (0110101110010010), co=0 (0) - OK
  At 130ns:  a= 2197  b=61865 ci=1 : sum=64063 (1111101000111111), co=0 (0) - OK
  At 140ns:  a=56245  b=32596 ci=0 : sum=23305 (0101101100001001), co=1 (1) - OK
  At 150ns:  a=61408  b=19387 ci=1 : sum=15260 (0011101110011100), co=1 (1) - OK
  At 160ns:  a=56563  b=  881 ci=1 : sum=57445 (1110000001100101), co=0 (0) - OK
  At 170ns:  a=62207  b=52194 ci=0 : sum=48865 (1011111011100001), co=1 (1) - OK
  At 180ns:  a= 7622  b=18283 ci=1 : sum=25906 (0110010100110010), co=0 (0) - OK
  At 190ns:  a=58702  b=14826 ci=0 : sum= 7992 (0001111100111000), co=1 (1) - OK
  At 200ns:  a= 2818  b=56190 ci=0 : sum=59008 (1110011010000000), co=0 (0) - OK
  At 210ns:  a=56838  b=18606 ci=0 : sum= 9908 (0010011010110100), co=1 (1) - OK
  At 220ns:  a=58658  b=58784 ci=0 : sum=51906 (1100101011000010), co=1 (1) - OK
  At 230ns:  a=65253  b=50463 ci=1 : sum=50181 (1100010000000101), co=1 (1) - OK
  At 240ns:  a=18825  b=52760 ci=0 : sum= 6049 (0001011110100001), co=1 (1) - OK
  At 250ns:  a=13979  b=21569 ci=1 : sum=35549 (1000101011011101), co=0 (0) - OK
  At 260ns:  a=18635  b=40759 ci=1 : sum=59395 (1110100000000011), co=0 (0) - OK
  At 270ns:  a=16112  b=32428 ci=0 : sum=48540 (1011110110011100), co=0 (0) - OK
  At 280ns:  a= 6658  b=33196 ci=0 : sum=39854 (1001101110101110), co=0 (0) - OK
  At 290ns:  a=  938  b=60968 ci=0 : sum=61906 (1111000111010010), co=0 (0) - OK
  At 300ns:  a=33419  b= 8563 ci=1 : sum=41983 (1010001111111111), co=0 (0) - OK
  At 310ns:  a= 9794  b=13058 ci=0 : sum=22852 (0101100101000100), co=0 (0) - OK
  At 320ns:  a=28612  b=37654 ci=0 : sum=  730 (0000001011011010), co=1 (1) - OK
  At 330ns:  a=50088  b=19017 ci=1 : sum= 3570 (0000110111110010), co=1 (1) - OK
  At 340ns:  a=53988  b=51453 ci=1 : sum=39906 (1001101111100010), co=1 (1) - OK
  At 350ns:  a=42067  b=60923 ci=1 : sum=37455 (1001001001001111), co=1 (1) - OK
  At 360ns:  a=13247  b=39410 ci=0 : sum=52657 (1100110110110001), co=0 (0) - OK
  At 370ns:  a=27153  b=39250 ci=0 : sum=  867 (0000001101100011), co=1 (1) - OK
  At 380ns:  a=34502  b=14809 ci=1 : sum=49312 (1100000010100000), co=0 (0) - OK
  At 390ns:  a=35903  b=58304 ci=0 : sum=28671 (0110111111111111), co=1 (1) - OK
  At 400ns:  a=48773  b=34466 ci=0 : sum=17703 (0100010100100111), co=1 (1) - OK
  At 410ns:  a=37301  b=64395 ci=1 : sum=36161 (1000110101000001), co=1 (1) - OK
  At 420ns:  a=37597  b= 9069 ci=1 : sum=46667 (1011011001001011), co=0 (0) - OK
  At 430ns:  a=25298  b= 9322 ci=0 : sum=34620 (1000011100111100), co=0 (0) - OK
  At 440ns:  a=54817  b=53408 ci=0 : sum=42689 (1010011011000001), co=1 (1) - OK
  At 450ns:  a=56166  b=43508 ci=0 : sum=34138 (1000010101011010), co=1 (1) - OK
  At 460ns:  a=56030  b=36449 ci=1 : sum=26944 (0110100101000000), co=1 (1) - OK
  At 470ns:  a=58313  b=17432 ci=0 : sum=10209 (0010011111100001), co=1 (1) - OK
  At 480ns:  a=59778  b=32279 ci=1 : sum=26522 (0110011110011010), co=1 (1) - OK
  At 490ns:  a=43787  b=23996 ci=0 : sum= 2247 (0000100011000111), co=1 (1) - OK
  At 500ns:  a= 4487  b=14234 ci=0 : sum=18721 (0100100100100001), co=0 (0) - OK
  At 510ns:  a=59542  b= 5030 ci=0 : sum=64572 (1111110000111100), co=0 (0) - OK
  At 520ns:  a=  860  b=37397 ci=1 : sum=38258 (1001010101110010), co=0 (0) - OK
  At 530ns:  a=  702  b=45763 ci=1 : sum=46466 (1011010110000010), co=0 (0) - OK
  At 540ns:  a= 1375  b=57836 ci=0 : sum=59211 (1110011101001011), co=0 (0) - OK
  At 550ns:  a=32790  b=44943 ci=1 : sum=12198 (0010111110100110), co=1 (1) - OK
