  At 610ns:  a=60930  b=24513 ci=1 : sum=19908 (0100110111000100), co=1 (1) - OK
  At 620ns:  a=35980  b=46494 ci=0 : sum=16938 (0100001000101010), co=1 (1) - OK
  At 630ns:  a= 8214  b=14603 ci=1 : sum=22818 (0101100100100010), co=0 (0) - OK
  At 640ns:  a=24331  b=27624 ci=0 : sum=51955 (1100101011110011), co=0 (0) - OK
  At 650ns:  a=29417  b=37370 ci=0 : sum= 1251 (0000010011100011), co=1 (1) - OK
  At 660ns:  a=26653  b=18973 ci=1 : sum=45627 (1011001000111011), co=0 (0) - OK
  At 670ns:  a=19997  b=17097 ci=1 : sum=37095 (1001000011100111), co=0 (0) - OK
  At 680ns:  a=55864  b=42573 ci=1 : sum=32902 (1000000010000110), co=1 (1) - OK
  At 690ns:  a=16634  b=22657 ci=1 : sum=39292 (1001100101111100), co=0 (0) - OK
  At 700ns:  a=23774  b=  937 ci=1 : sum=24712 (0110000010001000), co=0 (0) - OK
  At 710ns:  a=10063  b=39103 ci=1 : sum=49167 (1100000000001111), co=0 (0) - OK
  At 720ns:  a=29233  b=52008 ci=0 : sum=15705 (0011110101011001), co=1 (1) - OK
  At 730ns:  a=35035  b=53977 ci=1 : sum=23477 (0101101110110101), co=1 (1) - OK
  At 740ns:  a= 8628  b=37131 ci=1 : sum=45760 (1011001011000000), co=0 (0) - OK
  At 750ns:  a=16568  b=24338 ci=0 : sum=40906 (1001111111001010), co=0 (0) - OK
  At 760ns:  a=37042  b=32546 ci=0 : sum= 4052 (0000111111010100), co=1 (1) - OK
  At 770ns:  a= 7960  b=20716 ci=0 : sum=28676 (0111000000000100), co=0 (0) - OK
  At 780ns:  a= 4399  b=40685 ci=1 : sum=45085 (1011000000011101), co=0 (0) - OK
  At 790ns:  a=21400  b=39472 ci=0 : sum=60872 (1110110111001000), co=0 (0) - OK
  At 800ns:  a=27233  b=58297 ci=1 : sum=19995 (0100111000011011), co=1 (1) - OK
  At 810ns:  a=60481  b=57218 ci=0 : sum=52163 (1100101111000011), co=1 (1) - OK
  At 820ns:  a=20584  b=53768 ci=0 : sum= 8816 (0010001001110000), co=1 (1) - OK
  At 830ns:  a=52181  b=39384 ci=0 : sum=26029 (0110010110101101), co=1 (1) - OK
  At 840ns:  a=30948  b=11852 ci=0 : sum=42800 (1010011100110000), co=0 (0) - OK
  At 850ns:  a=45974  b= 5957 ci=1 : sum=51932 (1100101011011100), co=0 (0) - OK
  At 860ns:  a=38279  b=19985 ci=1 : sum=58265 (1110001110011001), co=0 (0) - OK
  At 870ns:  a=43743  b= 7935 ci=1 : sum=51679 (1100100111011111), co=0 (0) - OK
  At 880ns:  a=20816  b=47610 ci=0 : sum= 2890 (0000101101001010), co=1 (1) - OK
  At 890ns:  a=19362  b=13759 ci=1 : sum=33122 (1000000101100010), co=0 (0) - OK
  At 900ns:  a=41139  b=34985 ci=1 : sum=10589 (0010100101011101), co=1 (1) - OK
  At 910ns:  a=   77  b=56743 ci=1 : sum=56821 (1101110111110101), co=0 (0) - OK
  At 920ns:  a=15432  b=27524 ci=0 : sum=42956 (1010011111001100), co=0 (0) - OK
  At 930ns:  a=44837  b=62355 ci=1 : sum=41657 (1010001010111001), co=1 (1) - OK
  At 940ns:  a=27702  b=20510 ci=0 : sum=48212 (1011110001010100), co=0 (0) - OK
  At 950ns:  a=  961  b=57079 ci=1 : sum=58041 (1110001010111001), co=0 (0) - OK
  At 960ns:  a= 7179  b=64359 ci=1 : sum= 6003 (0001011101110011), co=1 (1) - OK
  At 970ns:  a=23845  b=60598 ci=0 : sum=18907 (0100100111011011), co=1 (1) - OK
  At 980ns:  a=16178  b=59924 ci=0 : sum=10566 (0010100101000110), co=1 (1) - OK
  At 990ns:  a=60182  b=43956 ci=0 : sum=38602 (1001011011001010), co=1 (1) - OK
  At 1000ns:  a=30850  b=37511 ci=1 : sum= 2826 (0000101100001010), co=1 (1) - OK
  At 1010ns:  a=54773  b=49281 ci=1 : sum=38519 (1001011001110111), co=1 (1) - OK
  At 1020ns:  a=59937  b=22518 ci=0 : sum=16919 (0100001000010111), co=1 (1) - OK
  
  ADDER TESTS COMPLETED WITH 0 ERRORS!
  
